win percent,lose percent,wins,loses,nothing
0.9,-3.9,220,14,1170
0.9,-4.0,220,14,1170
0.9,-4.1,220,12,1172
0.9,-4.2,220,11,1173
0.9,-4.3,221,10,1173
0.9,-4.4,221,8,1175
0.9,-4.5,222,6,1176
0.9,-4.6,222,6,1176
0.9,-4.7,222,5,1177
0.9,-4.8,222,5,1177
0.9,-4.9,222,5,1177
0.9,-5.0,222,4,1178
0.9,-5.1,222,4,1178
0.9,-5.2,222,4,1178
0.9,-5.3,222,4,1178
0.9,-5.4,222,4,1178
0.9,-5.5,222,4,1178
0.9,-5.6,222,4,1178
0.9,-5.7,222,4,1178
0.9,-5.8,222,4,1178
0.9,-5.9,222,3,1179
0.9,-6.0,222,3,1179
0.9,-6.1,222,3,1179
0.9,-6.2,222,3,1179
0.9,-6.3,222,3,1179
0.9,-6.4,222,3,1179
0.9,-6.5,222,2,1180
0.9,-6.6,222,2,1180
0.9,-6.7,222,2,1180
0.9,-6.8,222,2,1180
0.9,-6.9,222,2,1180
0.9,-7.0,223,1,1180
0.9,-7.1,223,1,1180
0.9,-7.2,223,1,1180
0.9,-7.3,223,1,1180
0.9,-7.4,223,0,1181
1.0,-0.1,77,843,484
1.0,-0.2,92,769,543
1.0,-0.3,111,674,619
1.0,-0.4,129,569,706
1.0,-0.5,139,468,797
1.0,-0.6,145,379,880
1.0,-0.7,150,315,939
1.0,-0.8,158,266,980
1.0,-0.9,162,226,1016
1.0,-1.0,164,192,1048
1.0,-1.1,169,167,1068
1.0,-1.2,172,140,1092
1.0,-1.3,173,125,1106
1.0,-1.4,176,110,1118
1.0,-1.5,178,100,1126
1.0,-1.6,179,91,1134
1.0,-1.7,179,79,1146
1.0,-1.8,179,73,1152
1.0,-1.9,181,65,1158
1.0,-2.0,182,57,1165
1.0,-2.1,184,51,1169
1.0,-2.2,185,48,1171
1.0,-2.3,185,45,1174
1.0,-2.4,185,40,1179
1.0,-2.5,186,33,1185
1.0,-2.6,187,29,1188
1.0,-2.7,187,27,1190
1.0,-2.8,187,23,1194
1.0,-2.9,188,22,1194
1.0,-3.0,188,22,1194
1.0,-3.1,189,19,1196
1.0,-3.2,189,18,1197
1.0,-3.3,189,18,1197
1.0,-3.4,190,17,1197
1.0,-3.5,190,16,1198
1.0,-3.6,190,15,1199
1.0,-3.7,190,15,1199
1.0,-3.8,190,15,1199
1.0,-3.9,191,14,1199
1.0,-4.0,191,14,1199
1.0,-4.1,191,12,1201
1.0,-4.2,191,11,1202
1.0,-4.3,192,10,1202
1.0,-4.4,192,8,1204
1.0,-4.5,193,6,1205
1.0,-4.6,193,6,1205
1.0,-4.7,193,5,1206
1.0,-4.8,193,5,1206
1.0,-4.9,193,5,1206
1.0,-5.0,193,4,1207
1.0,-5.1,193,4,1207
1.0,-5.2,193,4,1207
1.0,-5.3,193,4,1207
1.0,-5.4,193,4,1207
1.0,-5.5,193,4,1207
1.0,-5.6,193,4,1207
1.0,-5.7,193,4,1207
1.0,-5.8,193,4,1207
1.0,-5.9,193,3,1208
1.0,-6.0,193,3,1208
1.0,-6.1,193,3,1208
1.0,-6.2,193,3,1208
1.0,-6.3,193,3,1208
1.0,-6.4,193,3,1208
1.0,-6.5,193,2,1209
1.0,-6.6,193,2,1209
1.0,-6.7,193,2,1209
1.0,-6.8,193,2,1209
1.0,-6.9,193,2,1209
1.0,-7.0,194,1,1209
1.0,-7.1,194,1,1209
1.0,-7.2,194,1,1209
1.0,-7.3,194,1,1209
1.0,-7.4,194,0,1210
1.1,-0.1,69,843,492
1.1,-0.2,81,769,554
1.1,-0.3,99,674,631
1.1,-0.4,116,569,719
1.1,-0.5,125,468,811
1.1,-0.6,129,379,896
1.1,-0.7,134,315,955
1.1,-0.8,140,266,998
1.1,-0.9,143,226,1035
1.1,-1.0,145,192,1067
1.1,-1.1,150,167,1087
1.1,-1.2,152,140,1112
1.1,-1.3,153,125,1126
1.1,-1.4,156,110,1138
1.1,-1.5,158,100,1146
1.1,-1.6,159,91,1154
1.1,-1.7,159,79,1166
1.1,-1.8,159,73,1172
1.1,-1.9,160,65,1179
1.1,-2.0,161,57,1186
1.1,-2.1,163,51,1190
1.1,-2.2,164,48,1192
1.1,-2.3,164,45,1195
1.1,-2.4,164,40,1200
1.1,-2.5,165,33,1206
1.1,-2.6,166,29,1209
1.1,-2.7,166,27,1211
1.1,-2.8,166,23,1215
1.1,-2.9,167,22,1215
1.1,-3.0,167,22,1215
1.1,-3.1,168,19,1217
1.1,-3.2,168,18,1218
1.1,-3.3,168,18,1218
1.1,-3.4,169,17,1218
1.1,-3.5,169,16,1219
1.1,-3.6,169,15,1220
1.1,-3.7,169,15,1220
1.1,-3.8,169,15,1220
1.1,-3.9,170,14,1220
1.1,-4.0,170,14,1220
1.1,-4.1,170,12,1222
1.1,-4.2,170,11,1223
1.1,-4.3,171,10,1223
1.1,-4.4,171,8,1225
1.1,-4.5,172,6,1226
1.1,-4.6,172,6,1226
1.1,-4.7,172,5,1227
1.1,-4.8,172,5,1227
1.1,-4.9,172,5,1227
1.1,-5.0,172,4,1228
1.1,-5.1,172,4,1228
1.1,-5.2,172,4,1228
1.1,-5.3,172,4,1228
1.1,-5.4,172,4,1228
1.1,-5.5,172,4,1228
1.1,-5.6,172,4,1228
1.1,-5.7,172,4,1228
1.1,-5.8,172,4,1228
1.1,-5.9,172,3,1229
1.1,-6.0,172,3,1229
1.1,-6.1,172,3,1229
1.1,-6.2,172,3,1229
1.1,-6.3,172,3,1229
1.1,-6.4,172,3,1229
1.1,-6.5,172,2,1230
1.1,-6.6,172,2,1230
1.1,-6.7,172,2,1230
1.1,-6.8,172,2,1230
1.1,-6.9,172,2,1230
1.1,-7.0,173,1,1230
1.1,-7.1,173,1,1230
1.1,-7.2,173,1,1230
1.1,-7.3,173,1,1230
1.1,-7.4,173,0,1231
1.2,-0.1,61,843,500
1.2,-0.2,71,769,564
1.2,-0.3,88,674,642
1.2,-0.4,104,569,731
1.2,-0.5,113,468,823
1.2,-0.6,117,379,908
1.2,-0.7,122,315,967
1.2,-0.8,127,266,1011
1.2,-0.9,129,226,1049
1.2,-1.0,131,192,1081
1.2,-1.1,136,167,1101
1.2,-1.2,138,140,1126
1.2,-1.3,139,125,1140
1.2,-1.4,142,110,1152
1.2,-1.5,144,100,1160
1.2,-1.6,145,91,1168
1.2,-1.7,145,79,1180
1.2,-1.8,145,73,1186
1.2,-1.9,146,65,1193
1.2,-2.0,147,57,1200
1.2,-2.1,149,51,1204
1.2,-2.2,150,48,1206
1.2,-2.3,150,45,1209
1.2,-2.4,150,40,1214
1.2,-2.5,151,33,1220
1.2,-2.6,152,29,1223
1.2,-2.7,152,27,1225
1.2,-2.8,152,23,1229
1.2,-2.9,153,22,1229
1.2,-3.0,153,22,1229
1.2,-3.1,154,19,1231
1.2,-3.2,154,18,1232
1.2,-3.3,154,18,1232
1.2,-3.4,155,17,1232
1.2,-3.5,155,16,1233
1.2,-3.6,155,15,1234
1.2,-3.7,155,15,1234
1.2,-3.8,155,15,1234
1.2,-3.9,156,14,1234
1.2,-4.0,156,14,1234
1.2,-4.1,156,12,1236
1.2,-4.2,156,11,1237
1.2,-4.3,157,10,1237
1.2,-4.4,157,8,1239
1.2,-4.5,158,6,1240
1.2,-4.6,158,6,1240
1.2,-4.7,158,5,1241
1.2,-4.8,158,5,1241
1.2,-4.9,158,5,1241
1.2,-5.0,158,4,1242
1.2,-5.1,158,4,1242
1.2,-5.2,158,4,1242
1.2,-5.3,158,4,1242
1.2,-5.4,158,4,1242
